year,city,country,avg_temp
1849,Long Beach,United States,16.03
1850,Long Beach,United States,15.55
1851,Long Beach,United States,15.66
1852,Long Beach,United States,16.06
1853,Long Beach,United States,16.69
1854,Long Beach,United States,16.11
1855,Long Beach,United States,16.31
1856,Long Beach,United States,15.75
1857,Long Beach,United States,16.41
1858,Long Beach,United States,15.96
1859,Long Beach,United States,15.64
1860,Long Beach,United States,15.74
1861,Long Beach,United States,16.82
1862,Long Beach,United States,16.37
1863,Long Beach,United States,16.10
1864,Long Beach,United States,16.87
1865,Long Beach,United States,16.18
1866,Long Beach,United States,16.64
1867,Long Beach,United States,16.99
1868,Long Beach,United States,16.53
1869,Long Beach,United States,16.30
1870,Long Beach,United States,15.85
1871,Long Beach,United States,16.13
1872,Long Beach,United States,15.70
1873,Long Beach,United States,15.81
1874,Long Beach,United States,15.40
1875,Long Beach,United States,16.30
1876,Long Beach,United States,15.96
1877,Long Beach,United States,16.49
1878,Long Beach,United States,15.73
1879,Long Beach,United States,15.81
1880,Long Beach,United States,14.66
1881,Long Beach,United States,15.77
1882,Long Beach,United States,15.16
1883,Long Beach,United States,15.83
1884,Long Beach,United States,15.47
1885,Long Beach,United States,16.51
1886,Long Beach,United States,15.86
1887,Long Beach,United States,15.74
1888,Long Beach,United States,16.04
1889,Long Beach,United States,16.38
1890,Long Beach,United States,16.10
1891,Long Beach,United States,15.86
1892,Long Beach,United States,15.57
1893,Long Beach,United States,15.45
1894,Long Beach,United States,15.00
1895,Long Beach,United States,15.66
1896,Long Beach,United States,16.15
1897,Long Beach,United States,15.57
1898,Long Beach,United States,15.75
1899,Long Beach,United States,15.78
1900,Long Beach,United States,16.50
1901,Long Beach,United States,16.03
1902,Long Beach,United States,15.32
1903,Long Beach,United States,15.74
1904,Long Beach,United States,16.38
1905,Long Beach,United States,15.92
1906,Long Beach,United States,16.02
1907,Long Beach,United States,15.74
1908,Long Beach,United States,15.36
1909,Long Beach,United States,15.35
1910,Long Beach,United States,16.12
1911,Long Beach,United States,15.43
1912,Long Beach,United States,15.33
1913,Long Beach,United States,15.41
1914,Long Beach,United States,16.03
1915,Long Beach,United States,15.68
1916,Long Beach,United States,15.09
1917,Long Beach,United States,15.65
1918,Long Beach,United States,16.13
1919,Long Beach,United States,15.55
1920,Long Beach,United States,15.40
1921,Long Beach,United States,15.74
1922,Long Beach,United States,15.49
1923,Long Beach,United States,15.66
1924,Long Beach,United States,15.75
1925,Long Beach,United States,16.02
1926,Long Beach,United States,16.50
1927,Long Beach,United States,15.84
1928,Long Beach,United States,16.13
1929,Long Beach,United States,16.16
1930,Long Beach,United States,16.10
1931,Long Beach,United States,17.08
1932,Long Beach,United States,15.64
1933,Long Beach,United States,15.19
1934,Long Beach,United States,16.95
1935,Long Beach,United States,15.82
1936,Long Beach,United States,16.73
1937,Long Beach,United States,15.99
1938,Long Beach,United States,16.32
1939,Long Beach,United States,16.46
1940,Long Beach,United States,16.85
1941,Long Beach,United States,16.37
1942,Long Beach,United States,15.90
1943,Long Beach,United States,16.56
1944,Long Beach,United States,15.42
1945,Long Beach,United States,15.84
1946,Long Beach,United States,15.94
1947,Long Beach,United States,16.36
1948,Long Beach,United States,15.34
1949,Long Beach,United States,15.56
1950,Long Beach,United States,15.96
1951,Long Beach,United States,15.82
1952,Long Beach,United States,15.60
1953,Long Beach,United States,16.05
1954,Long Beach,United States,16.21
1955,Long Beach,United States,15.57
1956,Long Beach,United States,15.94
1957,Long Beach,United States,16.29
1958,Long Beach,United States,16.97
1959,Long Beach,United States,17.30
1960,Long Beach,United States,16.33
1961,Long Beach,United States,16.23
1962,Long Beach,United States,15.49
1963,Long Beach,United States,16.20
1964,Long Beach,United States,15.54
1965,Long Beach,United States,15.73
1966,Long Beach,United States,16.21
1967,Long Beach,United States,16.21
1968,Long Beach,United States,16.27
1969,Long Beach,United States,16.18
1970,Long Beach,United States,16.36
1971,Long Beach,United States,15.58
1972,Long Beach,United States,16.18
1973,Long Beach,United States,15.51
1974,Long Beach,United States,15.97
1975,Long Beach,United States,15.16
1976,Long Beach,United States,16.53
1977,Long Beach,United States,16.36
1978,Long Beach,United States,16.46
1979,Long Beach,United States,16.29
1980,Long Beach,United States,16.62
1981,Long Beach,United States,17.01
1982,Long Beach,United States,15.95
1983,Long Beach,United States,16.80
1984,Long Beach,United States,17.03
1985,Long Beach,United States,16.13
1986,Long Beach,United States,16.59
1987,Long Beach,United States,16.19
1988,Long Beach,United States,16.47
1989,Long Beach,United States,16.50
1990,Long Beach,United States,16.69
1991,Long Beach,United States,16.13
1992,Long Beach,United States,17.33
1993,Long Beach,United States,16.86
1994,Long Beach,United States,16.45
1995,Long Beach,United States,16.85
1996,Long Beach,United States,17.20
1997,Long Beach,United States,17.46
1998,Long Beach,United States,16.21
1999,Long Beach,United States,16.18
2000,Long Beach,United States,16.90
2001,Long Beach,United States,16.37
2002,Long Beach,United States,16.37
2003,Long Beach,United States,17.10
2004,Long Beach,United States,16.84
2005,Long Beach,United States,16.93
2006,Long Beach,United States,17.23
2007,Long Beach,United States,16.80
2008,Long Beach,United States,17.21
2009,Long Beach,United States,17.03
2010,Long Beach,United States,16.19
2011,Long Beach,United States,16.26
2012,Long Beach,United States,17.20
2013,Long Beach,United States,17.18
